stop_id,stop_name,stop_lat,stop_lon
34_23,J. Utama Berakas (SM Berakas),0.0,0.0
34_24,J. Berakas (Shell TAIB / Opp Times Sq),0.0,0.0
34_25,Brunei International Airport,0.0,0.0
34_26,J. Pertahanan (ISB),0.0,0.0
34_27,J. Berakas (Kebajikan/Times Sq & Airport Mall),0.0,0.0
34_28,J. Pertahanan (MinDef),0.0,0.0
34_29,J. Pertahanan (Opp ISB),0.0,0.0
35_1,BSB Bus Terminal,0.0,0.0
35_2,J. Kianggeh (SM Chung Hwa/Pusat Belia),0.0,0.0
35_3,J. Kianggeh (Terrace / Radisson),0.0,0.0
35_4,J. Kianggeh (SMJA),0.0,0.0
35_5,J. Kebangsaan (Mabohai / Supasave),0.0,0.0
35_6,J. Kianggeh (Opp SMJA),0.0,0.0
35_7,J. Menteri Besar (Immigration / Labour),0.0,0.0
35_8,J. Kebangsaan (Opp Supasave / Mabohai),0.0,0.0
35_9,J. Kebangsaan Lama,0.0,0.0
35_10,Kg Sungai Akar (Spg 40),0.0,0.0
35_11,Diplomatic Enclave,0.0,0.0
35_12,Kg Sungai Akar (Gurkha Camp / Spg 166),0.0,0.0
35_13,J. Menteri Besar (Immigration / Labour),0.0,0.0
35_14,Diplomatic Enclave,0.0,0.0
35_15,J. Menteri Besar (Kastam / KHEU / Audit),0.0,0.0
35_16,J. Menteri Besar (Kastam / KHEU / Audit),0.0,0.0
36_1,BSB Bus Terminal,0.0,0.0
36_2,J. Kianggeh (Terrace / Radisson),0.0,0.0
36_3,J. Kianggeh (SM Chung Hwa/Pusat Belia),0.0,0.0
36_4,J. Kianggeh (SMJA),0.0,0.0
36_5,J. Kebangsaan (Supasave / Mabohai),0.0,0.0
36_6,J. Kianggeh (Opp SMJA),0.0,0.0
36_7,J. Menteri Besar (Immigration / Labour),0.0,0.0
36_8,J. Kebangsaan (Supasave / Mabohai),0.0,0.0
36_9,J. Menteri Besar (Kastam / KHEU / Audit),0.0,0.0
36_10,J. Kebangsaan,0.0,0.0
36_11,Diplomatic Enclave,0.0,0.0
36_12,J. Menteri Besar (Kastam / KHEU / Audit),0.0,0.0
36_13,J. Pusat Dakwah (Opp Pusat Dakwah),0.0,0.0
36_14,J. Menteri Besar (Immigration / Labour),0.0,0.0
36_15,J. Kebangsaan Lama,0.0,0.0
36_16,J. Delima 2,0.0,0.0
36_17,J. Muara (Hua Ho Delima),0.0,0.0
36_18,Pancha Delima (SR Anggreek Desa),0.0,0.0
36_19,Brunei International Airport,0.0,0.0
36_20,J. Anggreek Desa,0.0,0.0
36_21,J. Berakas (Shell TAIB/Opp Times Sq),0.0,0.0
36_22,J. Kebangsaan Lama (Spg 106),0.0,0.0
36_23,J. Anggrek Desa,0.0,0.0
36_24,J. Pulaie (Masjid Pulaie),0.0,0.0
36_25,J. Kebangsaan Lama,0.0,0.0
36_26,National Stadium,0.0,0.0
36_27,Diplomatic Enclave,0.0,0.0
36_28,ICC,0.0,0.0
37_1,BSB Bus Terminal,0.0,0.0
37_2,Jubilee Hotel,0.0,0.0
37_3,Jubilee Hotel,0.0,0.0
37_4,J. Subok (MOFAT),0.0,0.0
37_5,J. Subok (Spore High Comm),0.0,0.0
37_6,J. Subok (Opp Spore High Comm),0.0,0.0
37_7,J. Subok (Spg 168),0.0,0.0
37_8,J. Subok (Spg 121 / 160),0.0,0.0
37_9,J. Subok (Spg 300),0.0,0.0
37_10,J. Subok (Spg 217 / 247),0.0,0.0
37_11,J. Subok (SR Orang Kaya Besar Imas),0.0,0.0
37_12,J. Subok (SR Orang Kaya Besar Imas),0.0,0.0
37_13,J. Subok (Masjid Kg Belimbing),0.0,0.0
37_14,J. Subok (Masjid Kg Belimbing),0.0,0.0
37_15,J. Sungai Akar (Masjid Kg Belimbing),0.0,0.0
37_16,J. Sungai Akar (Gurkha Camp),0.0,0.0
37_17,J. Sungai Akar (Spg 166 / 108),0.0,0.0
37_18,J. Muara (Kg Sg Tilong),0.0,0.0
37_19,Pekan Muara,0.0,0.0
37_20,Kg Sabun (Masjid Setia Ali),0.0,0.0
37_21,Kg Sabun (Muara Post Office),0.0,0.0
37_22,J. Muara (Kg Kapok),0.0,0.0
37_23,J. Muara (Spg 279 / J. Meragang),0.0,0.0
37_24,J. Muara (Kg Salar),0.0,0.0
37_25,Perpindahan Bukit Kabun,0.0,0.0
37_26,J. Muara (Kg Tanah Jambu),0.0,0.0
37_27,J. Muara (Kg Salar/Kg Kapok/Shell Kapok),0.0,0.0
37_28,J. Muara (SR Tanah Jambu),0.0,0.0
37_29,J. Muara (Kg Tanah Jambu),0.0,0.0
37_30,J. Muara (Kg Salambigar),0.0,0.0
37_31,Kg Salambigar (Villa Al-Hidayah),0.0,0.0
37_32,J. Muara (Kg Salambigar),0.0,0.0
37_33,Kg Salambigar (Indonesian Embassy),0.0,0.0
37_34,J. Muara (Kg Sg Tilong/Kg Sg Hancing),0.0,0.0
37_35,J. Muara (Kg Sg Hancing),0.0,0.0
37_36,J. Sungai Akar (Spg 40),0.0,0.0
38_1,BSB Bus Terminal,0.0,0.0
38_2,J. Kianggeh (Terrace / Radisson),0.0,0.0
38_3,J. Kianggeh (Terrace / Radisson),0.0,0.0
38_4,J. Simpang (SOAS),0.0,0.0
38_5,J. Simpang (SOAS),0.0,0.0
38_6,J. Kumbang Pasang (STPRI),0.0,0.0
38_7,J. Kumbang Pasang (STPRI),0.0,0.0
38_8,J. Kumbang Pasang (Riverview),0.0,0.0
38_9,J. Berakas (PMO / Masjid Ash-Saliheen),0.0,0.0
38_10,J. Berakas (PMO / Masjid Ash-Saliheen),0.0,0.0
38_11,J. Berakas (Off J. Stadium),0.0,0.0
38_12,J. Berakas (Bolkiah Kem),0.0,0.0
38_13,J. Berakas (Off J. Pertahanan),0.0,0.0
38_14,J. Berakas (Kebajikan/Time Sq/Airport Mall),0.0,0.0
38_15,J. Berakas (Shell TAIB),0.0,0.0
38_16,Brunei International Airport,0.0,0.0
38_17,Brunei International Airport,0.0,0.0
38_18,J. Muara (SM Berakas/Masjid M. Bolkiah),0.0,0.0
38_19,J. Muara (Delima Jaya),0.0,0.0
38_20,J. Muara (MSPSBS / MTSSR),0.0,0.0
38_21,J. Muara (Spg 94),0.0,0.0
38_22,Pekan Muara,0.0,0.0
38_23,J. Muara (Muara Centre),0.0,0.0
38_24,Kg Sabun (Masjid Setia Ali),0.0,0.0
38_25,Kg Sabun (Opp Masjid Setia Ali),0.0,0.0
38_26,J. Muara (Kg Sabun Spg 158),0.0,0.0
38_27,J. Muara (Kg Kapok),0.0,0.0
38_28,J. Muara (Kg Kapok),0.0,0.0
38_29,J. Muara (J. Bukit Kabun),0.0,0.0
38_30,Kg Salar (Spg 599 / 689),0.0,0.0
38_31,J. Muara - Kg Salar (Spg 606),0.0,0.0
38_32,Kg Tanah Jambu (SR Tanah Jambu),0.0,0.0
